Features,Labels,Encoded Labels
flag ri on scm message summary screen using metadata ri application rules,1.0-2.0,Task2
allow ri policies to be marked as exhausted,4.0-7.0,Task5
fix invalid uwref line dxlan,0.0-1.0,Task1
new rows in the diary event for the scm are read only,0.0-1.0,Task1
application screen size  need to set min size on application contoller,3.0-4.0,Task4
remove lloyds specific items from node type enum in technical core,4.0-7.0,Task5
ri metafield accessestabhiding seem to disappear on conversion,4.0-7.0,Task5
settlement currency on risksectionlimit table needs investigating,4.0-7.0,Task5
write selftests for period close,1.0-2.0,Task2
seach control obj  sort order,1.0-2.0,Task2
factreatyblock ind required on message summary and individual detail screens,1.0-2.0,Task2
usmscm message loading for ,10.0-23.0,Task7
hook risk validation and ri validation into period close processing,10.0-23.0,Task7
datagrid goes black when you click in a child row,4.0-7.0,Task5
validation error,4.0-7.0,Task5
task system date format still not quite right,0.0-1.0,Task1
conversion script for  database,23.0-100.0,Task8
usmscm message transaction search,3.0-4.0,Task4
add a system option to control deletion of delinked items during usm validation,0.0-1.0,Task1
assist   and   with testing and debugging xlsior export,1.0-2.0,Task2
event splits,4.0-7.0,Task5
search on event code,4.0-7.0,Task5
validation error navigation filtering fails,1.0-2.0,Task2
validation error navigation switches forms,0.0-1.0,Task1
crash on period close when no rows already in refperiodclose,1.0-2.0,Task2
 live  app dies due to permissions,4.0-7.0,Task5
 roe discrepancy report,10.0-23.0,Task7
migrate recent changes to all databases,0.0-1.0,Task1
splits should be able to be entered on the combined syndicate,>100,Task9
export message box open file appears behind current application,10.0-23.0,Task7
add diary event for when risk or ri is actually deleted,0.0-1.0,Task1
 triangulation,23.0-100.0,Task8
import scm exchange rate data into refcurrencyexcchangeratehistory,1.0-2.0,Task2
as at positions,4.0-7.0,Task5
restrict grid export types,3.0-4.0,Task4
add a business rule for idealprogrammingdaysestimate so that it remains madatory until a value above  is entered,2.0-3.0,Task3
search form crashes when a search criteria is accepted without a search value,1.0-2.0,Task2
claim movement report  manual block overrides,4.0-7.0,Task5
periods in metafilterseasrchfieldsuserfieldname,4.0-7.0,Task5
 triangulation report,23.0-100.0,Task8
new event can only be used with an scm line after a restart of scms,4.0-7.0,Task5
